"theta","vectors:0","vectors:1","vectors:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.017988,-0.015282,-0.0092457,0.99983,1,0.078921,0,0.078921,0
0.018165,-0.015481,-0.0092526,0.99983,1,0.07992,0,0.07992,0
0.018341,-0.015679,-0.0092596,0.99982,1,0.080919,0,0.080919,0
0.018518,-0.015877,-0.0092666,0.99982,1,0.081918,0,0.081918,0
0.018695,-0.016076,-0.0092735,0.99982,1,0.082917,0,0.082917,0
0.018871,-0.016274,-0.0092805,0.99981,1,0.083916,0,0.083916,0
0.019048,-0.016473,-0.0092875,0.99981,1,0.084915,0,0.084915,0
0.019225,-0.016671,-0.0092944,0.99981,1,0.085914,0,0.085914,0
0.019401,-0.016869,-0.0093014,0.9998,1,0.086913,0,0.086913,0
0.019578,-0.017068,-0.0093083,0.9998,1,0.087912,0,0.087912,0
0.019755,-0.017266,-0.0093153,0.9998,1,0.088911,0,0.088911,0
0.019932,-0.017465,-0.0093223,0.99979,1,0.08991,0,0.08991,0
0.020108,-0.017663,-0.0093292,0.99979,1,0.090909,0,0.090909,0
0.020285,-0.017861,-0.0093362,0.99979,1,0.091908,0,0.091908,0
0.020462,-0.01806,-0.0093432,0.99978,1,0.092907,0,0.092907,0
0.020638,-0.018258,-0.0093501,0.99978,1,0.093906,0,0.093906,0
0.020815,-0.018457,-0.0093571,0.99977,1,0.094905,0,0.094905,0
0.020992,-0.018655,-0.009364,0.99977,1,0.095904,0,0.095904,0
0.021169,-0.018853,-0.009371,0.99977,1,0.096903,0,0.096903,0
0.021345,-0.019052,-0.009378,0.99976,1,0.097902,0,0.097902,0
0.021522,-0.01925,-0.0093849,0.99976,1,0.098901,0,0.098901,0
