g, p, q, pore_AR
0.8, 0.05, 0.2, 2.3093114214541903
0.8, 0.05, 0.25, 1.794404929386259
0.8, 0.05, 0.3, 1.7144197573219668
0.8, 0.05, 0.35, 1.4932609709794291
0.8, 0.05, 0.4, 1.3791073427313116
0.8, 0.05, 0.45, 1.1589477262424699
0.8, 0.05, 0.5, 0.6538971356364769
0.8, 0.05, 0.55, 0.71027038008355
0.8, 0.05, 0.6, 0.7540481357908717
0.8, 0.05, 0.65, 0.8699850373550643
0.8, 0.05, 0.7, 0.45134905044045426
0.8, 0.05, 0.75, 0.921033587439109
0.8, 0.05, 0.8, 0.9861368979436116
0.8, 0.05, 0.85, 0.9358417382651351
0.8, 0.05, 0.9, 1.009168949861888
0.8, 0.05, 0.95, 0.8393548853363064
0.8, 0.05, 1, 0.607068155616922
0.8, 0.05, 1.05, 0.7028664762208484
0.8, 0.05, 1.1, 0.50621125304001
0.85, 0.05, 0, 8.40582429915806
0.85, 0.05, 0.05, 6.784801754563733
0.85, 0.05, 0.1, 4.565977971629806
0.85, 0.05, 0.15, 3.0139199333711533
0.85, 0.05, 0.2, 2.0638345377102683
0.85, 0.05, 0.25, 2.2221231929956557
0.85, 0.05, 0.3, 1.5422080447274384
0.85, 0.05, 0.35, 1.8803797307045005
0.85, 0.05, 0.4, 1.4553480188106829
0.85, 0.05, 0.45, 1.344015784110213
0.85, 0.05, 0.5, 0.9464025086804251
0.85, 0.05, 0.55, 0.97544872693572
0.85, 0.05, 0.6, 1.029096529098657
0.85, 0.05, 0.65, 0.9820575445146861
0.85, 0.05, 0.7, 0.7931380025113459
0.85, 0.05, 0.75, 0.8622844149569473
0.85, 0.05, 0.8, 0.8628039599383064
0.85, 0.05, 0.85, 0.840243949450709
0.85, 0.05, 0.9, 0.7107918884473804
0.85, 0.05, 0.95, 0.6708337884008995
0.85, 0.05, 1, 0.697388238108593
0.85, 0.05, 1.05, 0.5404810296640039
0.85, 0.05, 1.1, 0.7873398843013603
0.9, 0.05, 0, 7.513708314908105
0.9, 0.05, 0.05, 5.165594186611167
0.9, 0.05, 0.1, 3.5873531468993645
0.9, 0.05, 0.15, 1.5846100266138685
0.9, 0.05, 0.2, 1.8447491858111542
0.9, 0.05, 0.25, 1.9516820862921196
0.9, 0.05, 0.3, 1.6462754670629722
0.9, 0.05, 0.35, 1.7126584720442883
0.9, 0.05, 0.4, 1.230306668737729
0.9, 0.05, 0.45, 1.4458670871161752
0.9, 0.05, 0.5, 1.0227860714892218
0.9, 0.05, 0.55, 1.0955643200944345
0.9, 0.05, 0.6, 0.8428632510815203
0.9, 0.05, 0.65, 0.8844175784165549
0.9, 0.05, 0.7, 0.9031098988062966
0.9, 0.05, 0.75, 0.8372401560467702
0.9, 0.05, 0.8, 0.8856952681819893
0.9, 0.05, 0.85, 0.5928282896243816
0.9, 0.05, 0.9, 0.6513202229326628
0.9, 0.05, 0.95, 0.7644848916260776
0.9, 0.05, 1, 0.6086674318831948
0.9, 0.05, 1.05, 0.6883252002396868
0.9, 0.05, 1.1, 0.639909801357848
0.95, 0.05, 0, 5.8243130990230485
0.95, 0.05, 0.05, 4.058656519615225
0.95, 0.05, 0.1, 1.6630972654893068
0.95, 0.05, 0.15, 2.2461094010566316
0.95, 0.05, 0.2, 1.857512554367008
0.95, 0.05, 0.25, 1.9734705463596347
0.95, 0.05, 0.3, 1.5832754668232858
0.95, 0.05, 0.35, 1.148276817757539
0.95, 0.05, 0.4, 0.8554919531854313
0.95, 0.05, 0.45, 1.0505748261994332
0.95, 0.05, 0.5, 0.9496954008066304
0.95, 0.05, 0.55, 0.8038667494832686
0.95, 0.05, 0.6, 0.9755558728142838
0.95, 0.05, 0.65, 0.9901807856186297
0.95, 0.05, 0.7, 1.0238588759087075
0.95, 0.05, 0.75, 0.7359465831177121
0.95, 0.05, 0.8, 1.0611531810880994
0.95, 0.05, 0.85, 1.0934559954046008
0.95, 0.05, 0.9, 0.8817774353871421
0.95, 0.05, 0.95, 0.7948127529635383
0.95, 0.05, 1, 1.1043232541894612
0.95, 0.05, 1.05, 1.0015982218202086
0.95, 0.05, 1.1, 0.738174749669044
1, 0.05, 0, 4.605355587824931
1, 0.05, 0.05, 2.9935868487038935
1, 0.05, 0.1, 1.788749318189161
1, 0.05, 0.15, 1.8188817824983514
1, 0.05, 0.2, 2.3941934325055008
1, 0.05, 0.25, 1.6329664088076992
1, 0.05, 0.3, 1.616319946477026
