p, g, q, Energy
0.05, 0.85, 0.25, 23.78956096355101
0.05, 0.85, 0.3, 23.841934099169936
0.05, 0.85, 0.35, 24.4844525683471
0.05, 0.85, 0.4, 25.805242592372494
0.05, 0.85, 0.45, 27.43200505351972
0.05, 0.85, 0.5, 28.783499720826732
0.05, 0.85, 0.55, 30.27540601140324
0.05, 0.85, 0.6, 32.41389665681739
0.05, 0.85, 0.65, 33.76991261194279
0.05, 0.85, 0.7, 36.0569461831124
0.05, 0.85, 0.75, 38.28202444594255
0.05, 0.85, 0.8, 41.84615355199349
0.05, 0.85, 0.85, 46.1642887096694
0.05, 0.85, 0.9, 48.84511526541823
0.05, 0.85, 0.95, 52.357197881247274
0.05, 0.85, 1, 56.36617596849861
0.05, 0.85, 1.05, 59.93035136890359
0.05, 0.85, 1.1, 63.809961964196276
0.05, 0.9, 0, 19.677887204486026
0.05, 0.9, 0.05, 20.780516676548373
0.05, 0.9, 0.1, 21.76847194369158
0.05, 0.9, 0.15, 23.331637548592486
0.05, 0.9, 0.2, 24.12138908402439
0.05, 0.9, 0.25, 23.40253087359761
0.05, 0.9, 0.3, 23.770353065518105
0.05, 0.9, 0.35, 24.31715790620973
0.05, 0.9, 0.4, 26.102195304843107
0.05, 0.9, 0.45, 26.538994387992325
0.05, 0.9, 0.5, 28.665061329467136
0.05, 0.9, 0.55, 30.00823546711522
0.05, 0.9, 0.6, 32.50986850150104
0.05, 0.9, 0.65, 34.207474543793694
0.05, 0.9, 0.7, 36.696499026514736
0.05, 0.9, 0.75, 39.543130999059294
0.05, 0.9, 0.8, 42.043865197541685
0.05, 0.9, 0.85, 44.7216955624479
0.05, 0.9, 0.9, 48.65976729027896
0.05, 0.9, 0.95, 52.08018799146237
0.05, 0.9, 1, 56.93002466855845
0.05, 0.9, 1.05, 59.73946882211831
0.05, 0.9, 1.1, 64.31459775271435
0.05, 0.95, 0, 21.176180209356488
0.05, 0.95, 0.05, 21.96567643694171
0.05, 0.95, 0.1, 23.673541184549094
0.05, 0.95, 0.15, 22.98705799399489
0.05, 0.95, 0.2, 23.257063425174056
0.05, 0.95, 0.25, 23.936937142477575
0.05, 0.95, 0.3, 23.603161886867344
0.05, 0.95, 0.35, 25.108668860304128
0.05, 0.95, 0.4, 25.736755902781137
0.05, 0.95, 0.45, 27.822494545100838
0.05, 0.95, 0.5, 27.825618705642917
0.05, 0.95, 0.55, 31.03981023103635
0.05, 0.95, 0.6, 32.76080025643991
0.05, 0.95, 0.65, 34.77125908386718
0.05, 0.95, 0.7, 36.67864655322209
0.05, 0.95, 0.75, 39.09583317351621
0.05, 0.95, 0.8, 43.80339051770074
0.05, 0.95, 0.85, 46.032660971094295
0.05, 0.95, 0.9, 48.428573764427625
0.05, 0.95, 0.95, 52.21383290628291
0.05, 0.95, 1, 56.06889869401273
0.05, 0.95, 1.05, 60.3006364376785
0.05, 0.95, 1.1, 64.45369890400794
0.05, 1, 0, 22.187152649127157
0.05, 1, 0.05, 23.22822072574799
0.05, 1, 0.1, 24.141512663699693
0.05, 1, 0.15, 23.941232176361535
0.05, 1, 0.2, 23.839745338967596
0.05, 1, 0.25, 24.013339066624027
0.05, 1, 0.3, 24.379189946212144
0.05, 1, 0.35, 25.33307636994981
0.05, 1, 0.4, 25.36094697587397
0.05, 1, 0.45, 26.989995974200642
0.05, 1, 0.5, 30.49191527616459
0.05, 1, 0.55, 30.641688494902972
0.05, 1, 0.6, 32.759009731304765
0.05, 1, 0.65, 35.249729100801964
0.05, 1, 0.7, 38.49944603252639
0.05, 1, 0.75, 39.07746742075163
0.05, 1, 0.8, 42.23589766498181
0.05, 1, 0.85, 45.52531322826903
0.05, 1, 0.9, 49.216751098014264
0.05, 1, 0.95, 51.89005688106038
0.05, 1, 1, 56.35792703110035
0.05, 1, 1.05, 59.8252246724168
0.05, 1, 1.1, 65.07556436369921
